index,actor_id,name,year,total_emissions,population,gdp,energy_consumption_EJ,renewable_consumption_EJ,emissions_per_pop,gdp_per_pop,energy_per_gdp,emissions_per_energy,population_per_emissions,renewables_per_energy
2575,SG,Singapore,2010,185337577.76346263,5163590,239808000000,2.872354932331695,0.0067784198965527,35.893163044211995,46442.10713863804,1.1977727733568917e-11,64524608.598078415,0.027860459073173166,0.002359882415732715
2576,SG,Singapore,2011,192722428.4818884,5281344,279357000000,2.9864385821815,0.0070033569418518,36.491171277971745,52895.058530555856,1.0690401823406967e-11,64532527.014538735,0.027403888803198263,0.00234505306207773
2577,SG,Singapore,2012,191960765.29946,5381005,295093000000,2.999197638622178,0.0073864510221774,35.67377567934986,54839.75577052985,1.0163567548610702e-11,64004039.88969736,0.028031795932911597,0.0024628090283408976
2578,SG,Singapore,2013,191436970.71930817,5478055,307576000000,3.065352974257934,0.0082332023369335,34.94615711585739,56146.93536300749,9.966164376472592e-12,62451852.14458102,0.028615449666888653,0.0026858904687564107
2579,SG,Singapore,2014,190991772.70476308,5570502,314864000000,3.1543650226785527,0.0087853225330421,34.28627665958348,56523.45156684263,1.0018182525403199e-11,60548405.568668455,0.029166188266187443,0.0027851318632686264
2580,SG,Singapore,2015,202760378.7017995,5650018,307999000000,3.3543554284829273,0.0098071909083364,35.886678361343186,54512.92367564139,1.089079973793073e-11,60446897.481434114,0.027865493427142903,0.002923718466165016
2581,SG,Singapore,2016,217023933.48569623,5711933,318822000000,3.4806516693314196,0.0100638855419526,37.99483178211233,55816.831184819566,1.0917225503043767e-11,62351523.25006519,0.02631936905878847,0.002891379689219439
2582,SG,Singapore,2017,228904443.9187923,5764487,343187000000,3.589979773229512,0.0100811034967801,39.70942148343683,59534.69927159173,1.0460710263586651e-11,63762042.79080715,0.02518294053760288,0.0028081226451343584
2583,SG,Singapore,2018,225204151.86749852,5814537,376987000000,3.6095877546841746,0.0100498997761267,38.73122690035312,64835.25687427907,9.574833494746966e-12,62390546.28198201,0.025818960049284752,0.0027842237006386423
2584,SG,Singapore,2019,217320057.57579413,5866405,375484000000,3.5333469784606826,0.0105838904654707,37.04484391646914,64005.809350019306,9.410113289675945e-12,61505439.14893706,0.026994309984268203,0.0029954291299411576
2585,SG,Singapore,2020,211593278.39304864,5909870,345286000000,3.4394376052829605,0.0106601531903251,35.803372729526814,58425.31223191035,9.96112673344115e-12,61519731.61776284,0.027930329568513143,0.0030993884505859776
2586,SG,Singapore,2021,215683447.77753615,5941061,396992000000,3.4567080295836226,0.012463020255861,36.303860165303156,66821.73436697587,8.707248583305514e-12,62395622.0576478,0.027545280183613484,0.003605459341430764
2587,SI,Slovenia,1992,12255159.71413179,1991340,19271000000,0.2335722355206398,0.0,6.154227662846018,9677.403155664026,1.2120400369500275e-11,52468392.430353105,0.16248992640248716,0.0
2588,SI,Slovenia,1993,12993134.220456127,1991685,16626000000,0.2399688774246685,0.0,6.523689348695264,8347.705585973685,1.4433350019527757e-11,54145080.64503055,0.15328749524224353,0.0
2589,SI,Slovenia,1994,13121405.430829076,1991449,16844999999,0.2554191666782071,0.0,6.588873443823606,8458.665021800709,1.5162906897795784e-11,51372046.98252045,0.15177101344045354,0.0
2590,SI,Slovenia,1995,13945718.728802444,1991106,21384000000,0.2681916084487198,0.0,7.004006179883163,10739.75971143676,1.2541695120123449e-11,51999086.80762831,0.14277543084873198,0.0
2591,SI,Slovenia,1996,14675465.064479057,1990667,21516000000,0.2813697617592839,0.0,7.3721345983426945,10808.437573938785,1.3077233768325149e-11,52157221.77365363,0.13564592271888345,0.0
2592,SI,Slovenia,1997,15233442.808072517,1989828,20805000000,0.287755939675555,0.0,7.655658081036409,10455.677576152311,1.3831095394162702e-11,52938760.622103,0.13062234355490204,0.0
2593,SI,Slovenia,1998,14700100.8607802,1988279,22168000000,0.2885612311770658,0.0,7.393379329953291,11149.340711238212,1.3017016924263161e-11,50942743.76643474,0.13525614679996645,0.0
2594,SI,Slovenia,1999,14281209.318165015,1986261,22770000000,0.2855790481739564,0.0003562499999999,7.189996338932807,11463.750232220236,1.254189934887819e-11,50007902.92383712,0.13908212923352162,0.0012474654645634065
2595,SI,Slovenia,2000,13998305.6964139,1984339,20393000000,0.2830545628542155,0.0008044354838709,7.054392266852539,10276.97384368296,1.3879986409759009e-11,49454442.82989211,0.1417556555082484,0.002841980273199894
2596,SI,Slovenia,2001,14687941.861758849,1982487,20901000000,0.2958962974256838,0.0008274193548387,7.408846495214773,10542.81818745848,1.415704020983129e-11,49638815.995823056,0.13497377771909302,0.0027963153376277428
2597,SI,Slovenia,2002,14947948.864180956,1983767,23539000000,0.2943918216844669,0.0011721774193548,7.535133341859682,11865.808837428993,1.2506556000019836e-11,50775693.355375774,0.1327116528177056,0.003981691517949692
2598,SI,Slovenia,2003,14780808.4571722,1989412,29673000000,0.2887665655237524,0.0014020161290322,7.429737257627982,14915.462458253996,9.731626917526114e-12,51186010.50770336,0.134594261590249,0.004855188572434912
2599,SI,Slovenia,2004,15014756.104828926,1996722,34448000000,0.306648874198163,0.0013905241935483,7.5197028453780375,17252.27648115261,8.901790356426005e-12,48964002.049869165,0.13298397829837744,0.004534581113934609
2600,SI,Slovenia,2005,15214929.339220736,2004779,36261000000,0.3066729834377216,0.0012641129032258,7.58932996565743,18087.280443380543,8.457377993925198e-12,49612878.08487554,0.13176393759727306,0.0041220223870242325
2601,SI,Slovenia,2006,15646141.889961516,2013570,39514000000,0.3094353254435922,0.0013227139100566,7.770349126159764,19623.852163073545,7.831030152441975e-12,50563528.47733829,0.12869434613090758,0.004274605390190724
2602,SI,Slovenia,2007,15688143.540779252,2023229,48073000000,0.3076818019200198,0.0017769561244833,7.754012788853487,23760.533286148035,6.400303744721981e-12,50988207.436646834,0.12896548241931138,0.0057753045951843785
2603,SI,Slovenia,2008,16822663.17859349,2034033,55773000000,0.3371116566373079,0.004386487328488,8.27059500932064,27419.90911651876,6.044352224863427e-12,49902347.92353287,0.12091028503669188,0.013011971677999078
2604,SI,Slovenia,2009,14972277.216648858,2045578,50513000000,0.3114256589044409,0.00352256796275,7.319338209859931,24693.754039200656,6.1652576347562195e-12,48076569.12188797,0.13662437386113585,0.01131110382857335
2605,SI,Slovenia,2010,15236084.627386244,2057288,48248000000,0.3119764881103249,0.0045426224156278,7.405907499283641,23452.234203475644,6.466101975425404e-12,48837284.88538622,0.13502734136184227,0.01456078451021406
